date,channels,followers,total_views,total_likes,total_comments,views_delta_24h,avg_engagement_rate
2026-05-16,18,598907,22652381,26378,1066,0,4.6959
2026-05-17,18,1174605,369335574,14617428,267055,0,0.0
2026-05-18,1,34512,278188,11683,298,0,0.0
2026-05-20,18,1179646,368323010,14462252,263753,716191,18.552
2026-05-21,18,1180384,368434611,14462617,263760,111601,18.5316
2026-05-22,18,1182213,368434611,14462617,263769,109851,18.5317
2026-05-23,18,1182123,368434611,14462617,263769,103179,18.5317
2026-05-24,18,1182887,368662250,14462617,263773,705020,18.5301
2026-05-25,18,1183428,368726935,14462617,263780,473668,18.5297
2026-05-26,18,1183835,368726935,14462617,263785,571386,18.5297
2026-05-27,18,1185684,368815603,14462617,263788,1437527,18.5291
2026-05-28,18,1188183,368871241,14462617,263791,795279,18.5287
2026-05-29,17,1186196,368903640,14450325,259389,903940,19.6184
2026-05-30,17,1188418,369056852,14450325,259389,974649,19.6173
2026-05-31,17,1188504,369119230,14450325,259389,760706,19.6168
2026-06-01,18,1194785,369180617,14462617,263791,730603,18.5266
2026-06-02,18,1195239,369246634,14462617,263791,846180,18.5261
2026-06-03,18,1195786,369270695,14462617,263791,735010,18.526
2026-06-04,18,1196414,369326424,14462617,263791,700676,18.5256
2026-06-05,18,1196960,369378549,14462617,263791,744071,18.5253
2026-06-06,18,1197517,369469201,14462617,263791,503148,18.5247
2026-06-07,18,1198381,369492044,14462617,263791,373655,18.5245
2026-06-08,18,1199260,369564798,14462617,263791,404045,18.524
2026-06-09,18,1199802,369581532,14462617,263791,1277296,18.5239
2026-06-10,18,1201068,369668334,14462617,263791,1591963,18.5234
2026-06-11,18,1202169,369729226,14462617,263791,1927485,18.523
2026-06-12,18,1203332,369778876,14462617,263791,1484549,18.5227
2026-06-13,18,1204327,369800033,14462617,263791,1516781,18.5225
2026-06-14,18,1205115,369892749,14462617,263791,1401838,18.5219
