recommendation_id,kol_handle,platform,followers,country,suggested_sku,recommendation_reason,top_evidence_summary,action,reject_reason,reviewer_name
783,blog,media,133,德国,,score=87.000,,,,
784,blog,media,133,德国,,score=87.000,,,,
785,blog,media,133,德国,,score=82.000,,,,
780,blog,media,133,德国,,score=73.000,,,,
781,opticallimits,media,,澳大利亚,,score=73.000,,,,
782,caliallstaring,youtube,,美国,,score=73.000,,,,
705,seankitching,youtube,378000,南非,VL-LEN072,粉丝量级 378000; 互动率 0.93%; 平均播放 9668,,,,
706,markbennettcameracrisis,youtube,110000,加拿大,VL-LEN072,粉丝量级 110000; 互动率 6.24%; 平均播放 36066,,,,
707,dsipictures,youtube,58200,澳大利亚,VL-LEN072,粉丝量级 58200; 互动率 2.78%; 平均播放 12697,,,,
708,adrianalfordphotography,youtube,38000,澳大利亚,VL-LEN072,粉丝量级 38000; 互动率 4.40%; 平均播放 7924,,,,
786,project:3620,project,,,,score=42.000,,,,
709,moodydarkroom,instagram,500000,美国,VL-LEN072,score=40.000,,,,
710,rashadboleh,instagram,1185000,德国,VL-LEN072,score=40.000,,,,
711,vor_ject,instagram,112110000,俄罗斯,VL-LEN072,score=40.000,,,,
787,project:3622,project,,,,score=37.000,,,,
788,project:3621,project,,,,score=37.000,,,,
712,foto_ycy,instagram,416000,韩国,VL-LEN072,score=35.800,,,,
713,christopherfrost,youtube,350000,英国,VL-LEN072,score=32.500,,,,
714,midtrack.co,instagram,314000,巴西,VL-LEN072,score=30.700,,,,
715,damienbernal,youtube,243000,法国,VL-LEN072,score=27.150,,,,
716,arthurr,youtube,200000,美国,VL-LEN072,score=25.000,,,,
717,dustinabbotttwi,youtube,145000,加拿大,VL-LEN072,score=22.250,,,,
718,juanografoo,instagram,137000,哥伦比亚,VL-LEN072,score=21.850,,,,
719,tdmc_19,instagram,128000,德国,VL-LEN072,score=21.400,,,,
720,videograph,youtube,120000,俄罗斯,VL-LEN072,score=21.000,,,,
721,jimmychengred35,youtube,111000,英国,VL-LEN072,score=20.550,,,,
722,melzagers,instagram,102000,比利时,VL-LEN072,score=20.100,,,,
723,neilredfern,youtube,85700,英国,VL-LEN072,score=19.285,,,,
724,snap_halsbana,instagram,78000,韩国,VL-LEN072,score=18.900,,,,
725,georgeholden,youtube,65900,英国,VL-LEN072,score=18.295,,,,
726,johnny_fusca_-_instagram,instagram,62000,IT,VL-LEN072,score=18.100,,,,
727,mikesuminski,youtube,59600,德国,VL-LEN072,score=17.980,,,,
728,tomdewh,instagram,54000,美国,VL-LEN072,score=17.700,,,,
729,tomsjurjaks,youtube,50000,葡萄牙,VL-LEN072,score=17.500,,,,
730,philipfung,youtube,50000,香港,VL-LEN072,score=17.500,,,,
731,alessandro_sagnelli,instagram,50000,意大利,VL-LEN072,score=17.500,,,,
732,robert_bohnke,instagram,47000,德国,VL-LEN072,score=17.350,,,,
733,pavsz,youtube,43000,英国,VL-LEN072,score=17.150,,,,
734,eyesofbelga,instagram,41000,法国,VL-LEN072,score=17.050,,,,
735,abarrera,youtube,30000,美国,VL-LEN072,score=16.500,,,,
736,andreidimareviews,youtube,30000,西班牙,VL-LEN072,score=16.500,,,,
737,marcoalbanny,instagram,28000,西班牙,VL-LEN072,score=16.400,,,,
738,iamtongue,youtube,26600,葡萄牙,VL-LEN072,score=16.330,,,,
739,p,instagram,14000,英国,VL-LEN072,score=15.700,,,,
740,thesavagefilmmaker,youtube,12600,新西兰,VL-LEN072,粉丝量级 12600; 互动率 6.90%; 平均播放 2095,,,,
741,minor_view,youtube,10000,韩国,VL-LEN072,score=15.500,,,,
742,imzefyr,instagram,10000,法国,VL-LEN072,score=15.500,,,,
743,hannahyoungphotography,youtube,6000,英国,VL-LEN072,score=15.300,,,,
744,josealcoy,youtube,1690,比利时,VL-LEN072,score=15.085,,,,
745,pierretlambert,youtube,741000,美国,VL-LEN072,粉丝量级 741000; 互动率 0.61%; 平均播放 18461,,,,
746,ibrahimseddiktaleb,youtube,311,阿尔及利亚,VL-LEN072,score=15.016,,,,
747,leighandraymond,youtube,219,美国,VL-LEN072,score=15.011,,,,
748,tomcalton,youtube,172,英国,VL-LEN072,score=15.009,,,,
749,ericgibaud,youtube,100,西班牙,VL-LEN072,score=15.005,,,,
750,mattirwinphotography,youtube,70,澳大利亚,VL-LEN072,score=15.004,,,,
751,nohcab,youtube,66800,法国,VL-LEN072,粉丝量级 66800; 互动率 0.78%; 平均播放 2299,,,,
752,videozappo,youtube,40,意大利,VL-LEN072,score=15.002,,,,
